Dish,RMSE,MAPE,Model
Carciofi Alla Giodia,4.811675043304716,0.41504910938351647,Random Forest
חציל פרמז'ן,10.859833150966733,0.4183713220218865,Random Forest
טורטלוני,6.216547488003311,0.19411858381658534,Stacking RF
טירמיסו,7.990072930240446,0.11555898338738285,Random Forest
טליאטה די מנזו,6.2745359135706025,0.2937641267215669,Random Forest
כבדי עוף ובצל מטוגן,12.292264230041086,0.4973341754409338,Random Forest
לברק שלם,4.016624945374523,0.5431327847397714,Random Forest
לזניה בולונז,6.987255928607714,0.20821184869375872,Stacking RF
לינגוויני ארביאטה,5.663703165189742,0.28123172912212113,Stacking RF
לינגוויני ירקות,4.722829082734425,0.2474590867042473,Stacking RF
מאצי 4 גבינות,4.1147349357352,0.3742191720648341,Stacking RF
מאצי רוזה אפונה ובייקון,3.9904286175827273,0.30673665139943607,Random Forest
מבחר פטריות,7.763467893425814,0.3460165378887873,Stacking RF
נמסיס,5.012162682370041,0.2365142991993478,Random Forest
סלט חסה גדול,4.667427722724008,0.21022135581589016,Stacking RF
סלט קולורבי,4.595758074683332,0.2680192695101079,Stacking RF
סלט קיסר,6.8087295581124225,0.25263156327801173,Stacking RF
עוגת גבינה,4.871812190521646,0.4704158260791895,Random Forest
פוקצ'ת הבית,10.37789094165988,0.10401496054456894,Random Forest
פטוצ'יני תרד גורגונזולה,7.132964204833345,0.10805948860289095,Stacking RF
פילה דג,26.24076361129765,0.5154704755582601,Random Forest
פנה קרבונרה,8.088830750226862,0.20784877786670047,Stacking RF
פסטה בולונז,10.55419673132732,0.3082922690187374,Random Forest
פסטה פירות ים,5.9151663019152645,0.34168952577265993,Random Forest
פפרדלה פטריות ושמנת,6.034116256478667,0.21315558220811212,Stacking RF
פרגיות,4.098247594747068,0.29468023616329836,Random Forest
קרפצ'יו בקר אורוגולה ופרמז'ן,5.751585344523812,0.19839362996102866,Stacking RF
ריזוטו,4.437208284850601,0.46382212075661783,Stacking RF
שרימפס אליו פפרונצ'ינו,5.132548511431294,0.43304603818516973,Stacking RF
